Zona_Origen;Poblacion_Origen;Zona_Destino;Usa_Transporte_Publico;Parada_Origen;Parada_Destino;Tiempo_Acceso_Minutos;Tiempo_Salida_Minutos;Distancia_Acceso_Metros;Distancia_Salida_Metros;Tiempo_Viaje_Total_Minutos;Tiempo_Trayecto_Minutos;Numero_Transbordos;Distancia_Viaje_Total_Km;Distancia_Trayecto_Km;Tiempo_Espera_Transbordo_Minutos;Frecuencia_Servicio
214;26;657;True;1299;1060;2.94;1.87;234.91;149.20;7.58;2.78;0;2.174;1.846;0;5
215;338;664;False;;;1.43;0.43;96.00;29.00;1.87;0;0;0.125;0;0;0
216;972;676;True;2106;2116;95.37;3.05;7629.43;244.15;101.09;2.67;0;4.11;2.424;0;19
217;31;590;True;989;220863;19.86;1.43;1588.73;114.56;24.96;3.67;0;4.704;3.566;0;17
218;769;589;False;;;2.72;3.18;181.00;212.00;5.90;0;0;0.393;0;0;0
219;38;675;True;1390;1392;13.01;6.75;1040.42;540.31;21.79;2.03;0;2.261;1.369;0;80
220;2874;665;False;;;0.78;2.23;52.00;149.00;3.02;0;0;0.2;0;0;0
221;101;666;False;;;0.58;0.35;39.00;23.00;0.93;0;0;0.062;0;0;0
222;143;636;False;;;6.95;2.78;463.00;185.00;9.73;0;0;0.649;0;0;0
223;61;529;True;1018;1689;16.11;0.75;1288.91;59.70;18.96;2.1;0;2.678;1.622;0;50
224;78;709;True;754;545;15.48;3.69;1238.80;295.12;19.60;0.43;0;1.029;0.608;0;33
225;206;657;True;1022;1023;5.13;2.70;410.23;216.21;9.33;1.5;0;1.689;1.131;0;14
226;945;563;False;;;6.32;0.17;422.00;11.00;6.48;0;0;0.433;0;0;0
227;5717;578;False;;;8.37;3.95;558.00;263.00;12.32;0;0;0.821;0;0;0
228;21062;511;True;1991;1993;5.71;0.92;456.59;73.40;7.30;0.68;0;0.684;0.374;0;157
229;43;590;False;;;15.00;0.40;1000.00;27.00;15.40;0;0;1.027;0;0;0
230;49;654;True;1733;1739;38.94;1.96;3115.26;157.02;46.58;5.68;0;3.29;2.654;0;6
231;445;667;False;;;1.68;2.52;112.00;168.00;4.20;0;0;0.28;0;0;0
232;340;598;True;547;548;4.46;1.12;356.99;89.34;9.95;4.37;0;4.18;3.884;0;46
233;76;673;True;598;599;14.87;1.73;1189.84;138.38;17.45;0.85;0;1.44;0.594;0;92
234;878;696;False;;;1.15;2.60;76.00;173.00;3.75;0;0;0.249;0;0;0
235;14;641;True;758;750;60.50;2.82;4839.91;225.94;65.42;2.1;0;4.895;2.335;0;7
236;14;671;True;768;770;96.71;1.28;7736.78;102.00;100.65;2.67;0;8.184;2.387;0;7
